trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
147,False,"{'a': 0.5, 'e': 0.6433927065729562}",25,17,-7.679014571394219,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.6414654208273198}",25,15,-12.285864609095075,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.6395439082748009}",20,0,-48.929185725148,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.6376281516217733}",30,0,-113.16497095587208,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
151,False,"{'a': 0.5, 'e': 0.6357181336264143}",30,0,-64.19998491282142,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.633813837098549}",25,1,-187.2667293942166,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 4}",1
153,False,"{'a': 0.5, 'e': 0.6319152448994959}",25,0,-77.5517796287663,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.6300223399419123}",20,0,-85.88480914971956,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
155,False,"{'a': 0.5, 'e': 0.6281351051896408}",20,6,13.811428044899756,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.6262535236575559}",20,0,-113.28456498966202,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
157,False,"{'a': 0.5, 'e': 0.6243775784114112}",20,0,-104.81049602462345,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.6225072525676867}",20,8,-9.830026821769941,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.6206425292934373}",20,0,-3.80754150837341,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,11,-2.0345999093573415,"{0: 10, 1: 4, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.6169298233735474}",20,3,10.697198372779683,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.6150818073135287}",20,5,12.095742523641508,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.6132393269939275}",25,0,-35.137885987892766,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.6114023658324087}",20,0,-92.1183769712324,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
165,False,"{'a': 0.5, 'e': 0.6095709072963093}",30,4,-57.62341560108746,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.6077449349024902}",20,0,-43.491781819159975,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.6059244322171875}",20,16,7.746999652459955,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.6041093828558647}",25,0,-136.07239498681224,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
169,False,"{'a': 0.5, 'e': 0.6022997704830654}",20,0,-7.330593288991353,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.6004955788122659}",20,0,-67.50036127465553,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
171,False,"{'a': 0.5, 'e': 0.5986967916057292}",35,0,-57.28363395007184,"{0: 28, 1: 4, 2: 1, 3: 1, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.596903392674358}",25,15,-54.39570097996567,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
173,False,"{'a': 0.5, 'e': 0.5951153658775501}",20,0,-65.21543317268872,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.593332695123052}",25,3,-58.174222770471395,"{0: 16, 1: 3, 2: 1, 3: 1, 4: 1}",1
175,False,"{'a': 0.5, 'e': 0.5915553643668151}",20,11,-49.748321789183166,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
176,False,"{'a': 0.5, 'e': 0.5897833576128504}",30,19,-30.316351980190554,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.5880166589130854}",25,8,-57.12000935348382,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
178,False,"{'a': 0.5, 'e': 0.5862552523672196}",20,0,-88.68537872101462,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.5844991221225824}",20,2,3.347717471155025,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,0,-85.0009878247554,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
181,False,"{'a': 0.5, 'e': 0.5810026273636019}",20,0,-47.21370807352533,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
182,False,"{'a': 0.5, 'e': 0.579262231380782}",20,0,-82.66554256802807,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
